generation s r distopt trait[0] trait[1] trait[2] trait[3] trait[4] trait[5] trait[6] trait[7] trait[8] trait[9] 
2 -0.000437176 0.0170906 0.02 0.00358688  0.0047187  0.00772405  -0.0110148  -0.00748079  -0.00167633  0.000958102  -0.000453862  0.00400609  0.000160112 
3 -2.64781e-05 0.00574494 0.0467167 -0.00396048  -0.000838583  0.000555261  -0.0001081  0.000348578  -0.000352524  0.000178649  0.00328712  0.00111705  -0.00199122 
5 0.00338433 0.0294028 0.0855365 0.0057353  -0.0222242  -0.00252468  0.0124319  0.00272653  -0.00872056  0.00427107  -0.0057985  -0.00271066  0.00583939 
6 0.000154944 0.00361916 0.082302 4.15095e-05  -0.000700713  -0.000544952  -0.000517862  -0.000122475  0.00153394  -0.00101296  0.000807215  0.00234216  -0.00158401 
8 0.000786865 0.0235105 0.120976 -0.00256198  -0.00538122  -0.00361822  -0.0133407  0.00654342  0.00549232  0.00712675  0.00184549  -0.0122305  0.00702802 
9 0.00310172 0.0528067 0.137388 0.00566735  -0.0209837  -7.77423e-06  -0.0122042  -0.0146498  -0.0154952  -0.028579  0.0255263  -0.00213116  0.0154778 
11 0.00713761 0.0482899 0.162768 0.00997294  -0.0261705  -0.00984245  0.0275808  -0.00104753  -0.00246284  0.0110098  0.0221412  -0.00359513  -0.00764526 
13 0.00163497 0.0904659 0.176259 0.0416855  -0.0285978  0.0221248  -0.0226836  0.00148879  -0.0294626  -0.0212864  0.0160846  0.0365787  0.0412846 
14 0.0264587 0.13675 0.186922 -0.0124645  -0.112954  -0.0149973  -0.0192562  -0.0320418  0.0486681  -0.00555622  -0.0244827  -0.0180151  -0.0289942 
20 0.00814337 0.0628049 0.182355 0.0311615  -0.0173458  0.0178578  0.00198977  0.000460088  -0.00290281  0.017596  -0.0408985  0.0116613  0.0149248 
23 0.00880997 0.0422645 0.212553 -0.00429457  -0.0304607  0.0106076  -0.00895783  -0.00478727  0.00164057  -0.00788109  0.00134465  -0.023565  0.00154588 
24 0.0075566 0.037328 0.208694 0.00142566  -0.0260518  -0.000983283  0.00251235  0.00600942  -0.0072751  -0.0209558  -0.00793649  0.00758297  0.0075295 
